Item,Reference,Qty,Manufacturer,Manufacturer Part Number,Description
1,"C1,C2,C5",300,Murata,GRM188R71H104KA93D,CAP CER 0.1UF 50V X7R 0603
2,"R1,R2",500,Yageo,RC0603FR-0710KL,RES SMD 10K OHM 1% 1/10W 0603
3,U1,25,STMicroelectronics,STM32F103C8T6,ARM Cortex-M3 MCU 64KB LQFP48
4,U2,25,Texas Instruments,LM358DR,IC OPAMP GP 2 CIRCUIT 8SOIC
5,D1,50,ON Semiconductor,1N4148W-7-F,DIODE GEN PURP 100V 300MA SOD123
6,J1,25,Molex,0533980571,CONN FFC/FPC 5POS 1MM SMD
7,Y1,25,Abracon,ABM8G-12.000MHZ-18-D2Y-T,CRYSTAL 12.0000MHZ 18PF SMD
8,U3,25,Microchip,ATMEGA328P-AU,MCU 8BIT 32KB FLASH TQFP32
9,"L1,L2",100,TDK,MLZ2012M100WT000,FIXED IND 10UH 200MA 1.1 OHM
10,SW1,25,Omron,B3U-1000P,SWITCH TACTILE SPST-NO 0.05A 12V
